logFC,AveExpr,t,P.Value,adj.P.Val,B,probeID,CpG_chrm,gene,gene_HGNC
0.13485369034480324,2.0167415951723613,5.110502357724314,4.6832205676023455e-6,0.9999926141517178,4.050715679331541,cg04788627,chr1,NME7,NME7
0.10699392629689063,2.7445276050033933,4.988809972977965,7.176157071390031e-6,0.9999926141517178,3.652740286844292,cg02666119,chr8,NA,NA
-0.12306502184232704,1.8382332034335707,-4.877346412068252,1.0581095841965997e-5,0.9999926141517178,3.290911638854917,cg14493612,chrX,TBC1D25,TBC1D25
0.15222107969538765,1.5439516944945186,4.8716370203472295,1.0792896626513473e-5,0.9999926141517178,3.2724514809554197,cg01425892,chr1,RGS7,RGS7
0.11421679871602411,-3.8613887102772515,4.684762929203432,2.05639179023329e-5,0.9999926141517178,2.6724698160500964,cg26647139,chr11,CADM1,CADM1
0.08512214293955181,2.480622092989217,4.566242957705871,3.08163346621972e-5,0.9999926141517178,2.2965121329325413,cg08370869,chr1,RP11-21J7.1,RP11-21J7.1
-0.06862332702431967,4.294199302367088,-4.5338692945487065,3.4394925733357975e-5,0.9999926141517178,2.194480892819909,cg21286010,chr6,TNFRSF21,TNFRSF21
0.05830509352881476,1.532116197096441,4.507797839055694,3.7569166349229915e-5,0.9999926141517178,2.112526024046092,cg24456744,chr13,RASA3,RASA3
0.11390343773670802,0.7850096785574301,4.44078536971348,4.709806834872777e-5,0.9999926141517178,1.9027720112656628,cg12110659,chr18,CDH7,CDH7
0.0890349347731049,1.4520020946231962,4.400346092754236,5.3948931759797294e-5,0.9999926141517178,1.7768360912610177,cg04839683,chr11,RP11-396O20.2,RP11-396O20.2
