logFC,AveExpr,t,P.Value,adj.P.Val,B,probeID,CpG_chrm,gene,gene_HGNC
0.1805351712645019,1.8382332034335707,5.372693252983194,1.8505931800798728e-6,0.9999942357011565,4.816586269184326,cg14493612,chrX,TBC1D25,TBC1D25
-0.1146654834067762,-2.632729884730974,-4.448349490693635,4.5914388554895e-5,0.9999942357011565,1.9409215791276848,cg27100229,chr3,CCK;RP11-333B11.1,CCK;RP11-333B11.1
0.12195580848685611,1.1302900240682145,4.4413399717376825,4.7010279131901064e-5,0.9999942357011565,1.919840015807063,cg21255171,chr17,CDC6,CDC6
-0.21409123467582156,-0.8997396233635901,-4.408909470924441,5.242158693993524e-5,0.9999942357011565,1.822478910756253,cg11713274,chr12,NA,NA
0.1434685380598867,1.75872497585222,4.317600806905545,7.112578118211351e-5,0.9999942357011565,1.5499511327248463,cg00508817,chr2,ACYP2;TSPYL6,ACYP2;TSPYL6
-0.11583986271027968,2.522301101192613,-4.30873578949819,7.325480279109093e-5,0.9999942357011565,1.5236205591900482,cg10716343,chr3,ISY1-RAB43,ISY1-RAB43
0.2112293969224697,1.6504859894606478,4.272917347547425,8.250595452764633e-5,0.9999942357011565,1.4174722343035429,cg08216425,chr1,NA,NA
-0.14992418122357884,2.0167415951723613,-4.26632265493847,8.432884854628731e-5,0.9999942357011565,1.397970880212644,cg04788627,chr1,NME7,NME7
0.1582793290903574,0.9903225327433461,4.2040288998649045,1.035949727553718e-4,0.9999942357011565,1.2144193039748865,cg26621491,chr7,NA,NA
-0.1707916207741791,0.11774300775869229,-4.203349130312077,1.0382714657864711e-4,0.9999942357011565,1.212422993433127,cg04015541,chr9,OLFML2A,OLFML2A
